feature,mean_importance
fc_temperature_2m_d2,28.0
fc_temperature_2m_d3,25.083333333333332
fc_wind_gusts_10m_d2,23.041666666666668
ICA_out,21.625
fc_precipitation_d1,21.333333333333332
fc_wind_speed_10m_d2,20.166666666666668
exp_traffic_volume_d2,19.916666666666668
fc_boundary_layer_height_d2,19.666666666666668
fc_temperature_2m_d1,18.083333333333332
fc_wind_gusts_10m_d1,16.666666666666668
fc_wind_speed_10m_d1,16.166666666666668
fc_relative_humidity_2m_d2,16.166666666666668
exp_traffic_volume_d3,15.416666666666666
PM10_zbe,15.166666666666666
fc_wind_v_d2,14.25
NO2_zbe,13.75
fc_wind_v_d1,13.708333333333334
fc_relative_humidity_2m_d1,13.666666666666666
fc_boundary_layer_height_d1,13.625
NO2_out,13.5
fc_sunshine_duration_d2,13.333333333333334
PM2.5_zbe_roll_std_30d,13.166666666666666
fc_precipitation_d2,12.791666666666666
NO2_zbe_roll_mean_7d,12.583333333333334
traffic_occupancy_lag_2d,12.25
fc_sunshine_duration_d1,11.916666666666666
exp_traffic_occupancy_d2,11.875
presion_zbe,11.625
wind_u,11.291666666666666
fc_wind_u_d2,11.291666666666666
ICA_out_roll_mean_14d,11.208333333333334
PM2.5_out,11.166666666666666
exp_traffic_volume_d1,11.166666666666666
traffic_occupancy_lag_1d,11.125
weather_code,11.083333333333334
fc_wind_v_d3,11.083333333333334
viento_dir_out,11.0
fc_cloud_cover_d1,11.0
PM2.5_zbe,10.916666666666666
NO2_zbe_diff_30d,10.583333333333334
PM10_out_lag_30d,10.541666666666666
exp_traffic_occupancy_d1,10.458333333333334
ICA_out_lag_30d,10.375
traffic_volume,10.25
fc_boundary_layer_height_d3,10.125
PM10_zbe_diff_30d,10.0
presion_out,9.958333333333334
sunshine_duration,9.958333333333334
precipitation,9.916666666666666
viento_vel_out,9.916666666666666
fc_wind_direction_10m_d3,9.916666666666666
PM2.5_zbe_roll_std_3d,9.833333333333334
PM10_out,9.708333333333334
temperatura_zbe,9.625
fc_wind_gusts_10m_d3,9.583333333333334
fc_wind_speed_10m_d3,9.541666666666666
NO2_zbe_roll_std_3d,9.541666666666666
PM2.5_out_roll_mean_14d,9.5
fc_relative_humidity_2m_d3,9.333333333333334
wind_v,9.166666666666666
PM10_zbe_roll_mean_14d,9.125
NO2_zbe_lag_14d,9.041666666666666
fc_wind_direction_10m_d2,9.041666666666666
traffic_volume_lag_1d,9.0
fc_cloud_cover_d2,9.0
fc_wind_direction_10m_d1,8.916666666666666
wind_direction_10m,8.916666666666666
doy_cos,8.833333333333334
NO2_zbe_roll_std_14d,8.75
exp_traffic_occupancy_d3,8.75
traffic_occupancy_lag_14d,8.708333333333334
PM2.5_out_roll_mean_30d,8.666666666666666
fc_sunshine_duration_d3,8.541666666666666
traffic_volume_lag_2d,8.5
NO2_out_roll_std_3d,8.5
fc_cloud_cover_d3,8.416666666666666
fc_wind_u_d3,8.416666666666666
relative_humidity_2m,8.375
PM10_out_lag_14d,8.333333333333334
NO2_out_diff_7d,8.291666666666666
ICA_zbe,8.25
NO2_out_roll_mean_7d,8.208333333333334
NO2_zbe_roll_std_7d,8.083333333333334
fc_wind_u_d1,8.083333333333334
PM10_zbe_lag_14d,8.041666666666666
ICA_out_roll_mean_30d,7.833333333333333
NO2_out_roll_std_14d,7.833333333333333
wind_speed_10m,7.75
PM10_out_roll_std_30d,7.625
NO2_out_diff_30d,7.625
NO2_zbe_lag_1d,7.583333333333333
NO2_zbe_diff_7d,7.541666666666667
traffic_occupancy,7.541666666666667
PM10_zbe_lag_1d,7.5
NO2_zbe_lag_3d,7.416666666666667
NO2_zbe_lag_2d,7.416666666666667
NO2_out_lag_7d,7.375
PM2.5_zbe_roll_max_30d,7.291666666666667
traffic_volume_lag_14d,7.208333333333333
PM10_out_roll_std_14d,7.166666666666667
PM2.5_out_roll_std_3d,7.083333333333333
PM10_zbe_roll_std_14d,7.041666666666667
ICA_out_roll_mean_7d,7.041666666666667
PM10_out_roll_mean_14d,7.0
NO2_out_roll_mean_14d,6.916666666666667
boundary_layer_height,6.916666666666667
day_of_year,6.916666666666667
NO2_zbe_roll_mean_3d,6.875
ICA_zbe_roll_max_30d,6.833333333333333
PM2.5_out_lag_30d,6.75
NO2_zbe_roll_std_30d,6.75
PM10_out_roll_std_7d,6.708333333333333
PM10_out_roll_mean_30d,6.666666666666667
temperature_2m,6.625
PM10_out_diff_30d,6.625
PM10_zbe_lag_2d,6.541666666666667
PM10_zbe_roll_mean_30d,6.375
NO2_out_lag_1d,6.375
PM10_zbe_roll_std_30d,6.166666666666667
traffic_volume_lag_7d,6.125
ICA_zbe_diff_30d,6.125
PM10_zbe_lag_3d,6.125
PM10_zbe_lag_30d,6.083333333333333
cloud_cover,6.083333333333333
temperatura_out,6.083333333333333
NO2_zbe_roll_max_7d,6.041666666666667
doy_sin,6.0
ICA_zbe_roll_mean_30d,5.833333333333333
traffic_occupancy_lag_7d,5.791666666666667
PM2.5_zbe_roll_std_14d,5.75
NO2_zbe_roll_max_3d,5.75
NO2_out_roll_std_7d,5.75
humedad_out,5.708333333333333
PM2.5_zbe_lag_14d,5.666666666666667
PM10_zbe_diff_7d,5.666666666666667
PM2.5_zbe_diff_30d,5.625
NO2_out_roll_mean_30d,5.583333333333333
ICA_out_roll_std_7d,5.541666666666667
ICA_zbe_lag_30d,5.5
PM2.5_zbe_lag_30d,5.5
NO2_zbe_roll_mean_14d,5.458333333333333
traffic_load,5.458333333333333
humedad_zbe,5.416666666666667
PM10_out_roll_std_3d,5.375
wind_gusts_10m,5.375
NO2_out_lag_14d,5.291666666666667
PM2.5_out_lag_14d,5.208333333333333
fc_precipitation_d3,5.166666666666667
NO2_out_lag_3d,5.125
ICA_out_lag_14d,5.041666666666667
PM10_out_lag_3d,5.0
PM2.5_zbe_lag_7d,4.958333333333333
PM10_zbe_lag_7d,4.916666666666667
PM10_zbe_roll_std_3d,4.875
NO2_out_lag_30d,4.833333333333333
dow_cos,4.791666666666667
ICA_zbe_lag_7d,4.75
NO2_out_lag_2d,4.75
PM2.5_out_diff_30d,4.708333333333333
PM10_out_diff_7d,4.666666666666667
PM10_zbe_roll_max_30d,4.625
PM10_out_roll_max_14d,4.583333333333333
ICA_out_lag_1d,4.583333333333333
PM10_zbe_roll_std_7d,4.583333333333333
PM10_out_lag_7d,4.541666666666667
NO2_out_roll_std_30d,4.541666666666667
PM10_out_lag_1d,4.5
PM2.5_zbe_lag_1d,4.458333333333333
PM2.5_zbe_roll_max_7d,4.458333333333333
ICA_zbe_roll_std_3d,4.458333333333333
ICA_zbe_lag_3d,4.375
ICA_zbe_roll_std_14d,4.291666666666667
PM2.5_out_lag_1d,4.291666666666667
NO2_zbe_lag_7d,4.25
PM2.5_zbe_lag_2d,4.208333333333333
PM2.5_out_roll_std_30d,4.208333333333333
PM10_out_roll_mean_7d,4.166666666666667
ICA_out_roll_std_30d,4.125
ICA_out_diff_30d,4.0
PM2.5_out_lag_2d,4.0
PM2.5_out_roll_mean_7d,3.9583333333333335
PM2.5_zbe_roll_std_7d,3.9583333333333335
PM10_zbe_roll_mean_7d,3.9166666666666665
PM10_out_lag_2d,3.9166666666666665
NO2_out_roll_max_7d,3.9166666666666665
ICA_out_roll_max_3d,3.875
PM2.5_zbe_roll_mean_14d,3.8333333333333335
PM2.5_out_roll_std_7d,3.7916666666666665
PM2.5_out_lag_3d,3.75
PM2.5_zbe_roll_mean_30d,3.75
NO2_zbe_lag_30d,3.625
rain,3.625
PM2.5_out_roll_std_14d,3.625
ICA_zbe_roll_mean_14d,3.625
ICA_zbe_roll_std_7d,3.5833333333333335
NO2_out_roll_max_30d,3.5
ICA_out_roll_std_3d,3.4166666666666665
NO2_out_roll_max_3d,3.4166666666666665
ICA_out_lag_3d,3.4166666666666665
ICA_zbe_lag_14d,3.4166666666666665
ICA_out_lag_2d,3.375
ICA_zbe_roll_std_30d,3.375
ICA_out_roll_max_7d,3.375
ICA_zbe_lag_2d,3.3333333333333335
NO2_zbe_roll_mean_30d,3.2916666666666665
