feature,mean
fc_wind_speed_10m_d1,62.0
ICA_out,59.75
PM10_zbe,55.5
wind_v,51.0
fc_boundary_layer_height_d3,50.625
PM2.5_out,48.5
weather_code,45.375
fc_wind_gusts_10m_d1,40.625
exp_traffic_volume_d1,40.625
relative_humidity_2m,40.0
NO2_zbe,39.125
traffic_volume_lag_1d,36.375
wind_speed_10m,35.125
cloud_cover,34.125
exp_traffic_volume_d3,34.125
fc_wind_direction_10m_d1,33.875
fc_wind_u_d1,31.375
exp_traffic_occupancy_d1,29.75
PM10_out,29.75
NO2_zbe_lag_14d,29.375
fc_cloud_cover_d1,28.25
fc_boundary_layer_height_d1,28.125
fc_relative_humidity_2m_d2,27.875
fc_sunshine_duration_d1,27.0
ICA_zbe,27.0
HDD_acum_7d,26.75
fc_precipitation_d1,26.25
humedad_out,26.25
fc_sunshine_duration_d2,25.375
fc_temperature_2m_d1,24.75
PM2.5_zbe,24.625
sunshine_duration,24.5
HDD_acum_14d,24.375
viento_dir_out,24.0
PM10_zbe_lag_30d,23.875
traffic_volume_lag_2d,23.125
ICA_zbe_lag_1d,23.0
wind_gusts_10m,22.25
PM10_out_roll_std_3d,21.0
NO2_out_diff_30d,21.0
HDD_lag_7d,21.0
traffic_volume_lag_7d,20.625
PM10_zbe_lag_7d,20.5
PM10_zbe_roll_std_3d,20.25
ICA_zbe_lag_2d,20.25
PM2.5_out_diff_7d,20.25
ICA_out_roll_std_7d,20.0
PM10_zbe_lag_2d,19.625
traffic_load,19.625
PM2.5_out_lag_3d,18.625
presion_zbe,18.5
NO2_out_diff_7d,18.5
wind_direction_10m,18.125
traffic_occupancy_lag_2d,18.125
traffic_occupancy_lag_7d,17.75
traffic_occupancy_lag_1d,17.625
exp_traffic_occupancy_d3,17.25
wind_u,17.0
NO2_out_roll_std_14d,16.875
fc_wind_v_d3,16.375
temp_min_dia,16.125
fc_wind_u_d3,16.125
ICA_out_lag_30d,15.875
PM10_out_roll_std_14d,15.75
rain,15.625
fc_cloud_cover_d2,15.25
fc_wind_gusts_10m_d2,15.25
fc_sunshine_duration_d3,15.0
NO2_out_roll_std_7d,15.0
PM2.5_out_diff_30d,14.375
fc_relative_humidity_2m_d1,14.25
fc_wind_v_d2,14.25
fc_wind_u_d2,14.125
PM10_zbe_diff_7d,14.125
PM2.5_zbe_diff_7d,14.125
ICA_zbe_diff_30d,14.125
HDD_lag_1d,14.0
PM10_zbe_lag_14d,14.0
PM2.5_out_lag_7d,13.875
fc_HDD_d1,13.875
NO2_out_lag_14d,13.75
ICA_out_lag_14d,13.5
precipitation,13.25
PM10_out_lag_14d,13.25
fc_HDD_d2,13.125
fc_wind_v_d1,13.125
PM2.5_zbe_lag_1d,12.75
NO2_out_roll_std_3d,12.5
NO2_zbe_roll_std_30d,12.375
PM10_out_lag_30d,12.125
NO2_zbe_lag_2d,12.0
temp_range,11.875
NO2_zbe_roll_std_14d,11.375
presion_out,11.25
ICA_zbe_lag_14d,11.25
NO2_zbe_lag_3d,11.0
NO2_zbe_roll_mean_7d,10.875
PM2.5_out_lag_14d,10.5
doy_sin,10.5
traffic_volume_lag_14d,10.5
exp_traffic_occupancy_d2,10.5
fc_boundary_layer_height_d2,10.5
ICA_zbe_roll_std_3d,10.375
PM10_out_roll_std_7d,10.25
ICA_out_roll_mean_14d,10.0
PM10_out_lag_1d,9.75
PM2.5_out_roll_std_7d,9.5
PM2.5_zbe_lag_14d,9.5
PM10_out_diff_30d,9.5
NO2_zbe_roll_max_3d,9.125
PM2.5_out_lag_2d,9.0
fc_HDD_d3,9.0
NO2_zbe_diff_30d,9.0
traffic_occupancy,8.875
PM10_out_roll_mean_14d,8.625
NO2_out_lag_7d,8.625
fc_precipitation_d3,8.625
PM2.5_out_roll_std_14d,8.5
ICA_out_roll_std_30d,8.5
NO2_zbe_lag_7d,8.375
ICA_zbe_roll_max_7d,8.375
ICA_zbe_roll_std_30d,8.375
ICA_out_lag_1d,8.375
PM10_zbe_roll_std_30d,8.25
temperature_2m,8.25
fc_temperature_2m_d3,8.25
PM2.5_zbe_lag_2d,8.25
PM2.5_zbe_roll_std_7d,8.25
ICA_zbe_roll_std_7d,8.125
fc_relative_humidity_2m_d3,8.125
PM2.5_zbe_roll_max_7d,8.125
traffic_occupancy_lag_14d,8.0
PM2.5_zbe_roll_std_30d,7.875
NO2_zbe_lag_30d,7.75
NO2_zbe_roll_mean_14d,7.75
PM2.5_zbe_roll_max_3d,7.625
fc_wind_speed_10m_d3,7.625
PM10_zbe_roll_mean_14d,7.5
fc_wind_direction_10m_d3,7.375
PM10_zbe_lag_1d,7.25
NO2_zbe_lag_1d,7.125
PM10_zbe_roll_max_14d,7.125
ICA_out_roll_mean_30d,7.0
fc_wind_gusts_10m_d3,6.875
ICA_zbe_lag_3d,6.75
ICA_zbe_lag_30d,6.5
PM10_out_lag_3d,6.5
PM2.5_zbe_roll_mean_7d,6.25
PM10_zbe_roll_mean_3d,6.125
PM10_out_roll_max_7d,6.125
PM10_zbe_roll_mean_7d,6.125
NO2_zbe_roll_mean_3d,6.0
PM10_out_roll_max_3d,5.875
NO2_out_lag_2d,5.75
ICA_zbe_roll_max_14d,5.75
ICA_out_lag_7d,5.625
PM10_zbe_lag_3d,5.5
NO2_zbe_roll_max_14d,5.5
PM2.5_out_roll_mean_3d,5.5
ICA_zbe_roll_max_3d,5.5
PM2.5_out_roll_mean_14d,5.375
fc_temperature_2m_d2,5.375
PM10_zbe_roll_std_14d,5.375
boundary_layer_height,5.0
NO2_out_lag_30d,5.0
PM2.5_out_roll_mean_30d,4.875
ICA_zbe_roll_mean_3d,4.75
NO2_out_roll_max_3d,4.75
NO2_out,4.625
NO2_zbe_roll_std_3d,4.625
PM10_out_lag_2d,4.5
PM2.5_out_roll_max_7d,4.5
PM10_out_roll_mean_3d,4.375
NO2_out_roll_mean_14d,4.375
PM2.5_out_roll_max_3d,4.125
HDD,4.125
NO2_zbe_roll_max_30d,4.125
ICA_zbe_roll_std_14d,4.125
temp_media_dia,4.125
PM2.5_out_lag_1d,4.0
NO2_out_lag_3d,3.875
NO2_zbe_roll_std_7d,3.75
ICA_out_lag_3d,3.75
temp_max_dia,3.625
PM2.5_zbe_roll_mean_3d,3.625
ICA_out_roll_max_3d,3.625
ICA_zbe_roll_mean_14d,3.5
PM10_zbe_roll_std_7d,3.375
NO2_zbe_diff_7d,3.375
